名称, 家賃, 管理費, 家賃+管理費, 敷金, 礼金, 間取り, 面積, 向き, 種別, 築年, 住所, 交通, SUUMOのURL, 目的地までの乗り換え数, 目的地までの電車時間(分), 目的地までの交通機関URL
反町 1LDK 2階, 90000, 5000, 95000, 敷18万円, 礼9万円, 1LDK, 46.2m2, 南西, マンション, 築31年, 神奈川県横浜市神奈川区反町１, 東急東横線/反町駅 歩2分 or 京急本線/神奈川駅 歩7分 or ＪＲ京浜東北線/東神奈川駅 歩9分, https://suumo.jp/chintai/bc_100270341103/, 0, 50.0, "https://www.google.com/maps/dir/%E3%80%92221-0825+%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E6%A8%AA%E6%B5%9C%E5%B8%82%E7%A5%9E%E5%A5%88%E5%B7%9D%E5%8C%BA%E5%8F%8D%E7%94%BA%EF%BC%91%E4%B8%81%E7%9B%AE/%E6%9D%B1%E4%BA%AC%E3%83%9D%E3%83%BC%E3%83%88%E3%82%B7%E3%83%86%E3%82%A3%E7%AB%B9%E8%8A%9D%E3%82%AA%E3%83%95%E3%82%A3%E3%82%B9%E3%82%BF%E3%83%AF%E3%83%BC%E3%80%81%E3%80%92105-7590+%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E6%B5%B7%E5%B2%B8%EF%BC%91%E4%B8%81%E7%9B%AE%EF%BC%97%E2%88%92%EF%BC%91/@35.5617675, 139.5518755, 11z/data=!3m2!4b1!5s0x60188bcfbd4b558d:0x8a806e1fb049c1b8!4m18!4m17!1m5!1m1!1s0x60185c183ced6167:0x7e7748d3117a594!2m2!1d139.6283141!2d35.4747908!1m5!1m1!1s0x60188b7e9c0d08a7:0xe97d025b25f3950f!2m2!1d139.7606699!2d35.6552143!2m3!6e1!7e2!8j1652739006!3e3"
東神奈川 2DK 3階, 89000, 7000, 96000, 敷8.9万円, 礼8.9万円, 2DK, 41.2m2, 南西, マンション, 築26年, 神奈川県横浜市神奈川区西神奈川３, ＪＲ京浜東北線/東神奈川駅 歩11分 or 東急東横線/東白楽駅 歩5分 or 東急東横線/白楽駅 歩10分, https://suumo.jp/chintai/bc_100280843046/, 0, 55.0, "https://www.google.com/maps/dir/%E3%80%92221-0822+%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E6%A8%AA%E6%B5%9C%E5%B8%82%E7%A5%9E%E5%A5%88%E5%B7%9D%E5%8C%BA%E8%A5%BF%E7%A5%9E%E5%A5%88%E5%B7%9D%EF%BC%93%E4%B8%81%E7%9B%AE/%E6%9D%B1%E4%BA%AC%E3%83%9D%E3%83%BC%E3%83%88%E3%82%B7%E3%83%86%E3%82%A3%E7%AB%B9%E8%8A%9D%E3%82%AA%E3%83%95%E3%82%A3%E3%82%B9%E3%82%BF%E3%83%AF%E3%83%BC%E3%80%81%E3%80%92105-7590+%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E6%B5%B7%E5%B2%B8%EF%BC%91%E4%B8%81%E7%9B%AE%EF%BC%97%E2%88%92%EF%BC%91/@35.5612814, 139.5497137, 11z/data=!3m2!4b1!5s0x60188bcfbd4b558d:0x8a806e1fb049c1b8!4m18!4m17!1m5!1m1!1s0x60185ea10f288d07:0x27ea74c44ab6f751!2m2!1d139.6270392!2d35.4863428!1m5!1m1!1s0x60188b7e9c0d08a7:0xe97d025b25f3950f!2m2!1d139.7606699!2d35.6552143!2m3!6e1!7e2!8j1652738931!3e3"
Sophia　Grace 7階, 93000, 6000, 99000, 敷9.3万円, 礼9.3万円, 1LDK, 43.71m2, 南, マンション, 築9年, 千葉県鎌ヶ谷市新鎌ケ谷１, 北総線/新鎌ケ谷駅 歩4分 or 新京成線/初富駅 歩11分 or 北総線/大町駅 歩41分, https://suumo.jp/chintai/bc_100281092569/, 0, 56.0, "https://www.google.com/maps/dir/%E3%80%92273-0107+%E5%8D%83%E8%91%89%E7%9C%8C%E9%8E%8C%E3%82%B1%E8%B0%B7%E5%B8%82%E6%96%B0%E9%8E%8C%E3%82%B1%E8%B0%B7%EF%BC%91%E4%B8%81%E7%9B%AE/%E6%9D%B1%E4%BA%AC%E3%83%9D%E3%83%BC%E3%83%88%E3%82%B7%E3%83%86%E3%82%A3%E7%AB%B9%E8%8A%9D%E3%82%AA%E3%83%95%E3%82%A3%E3%82%B9%E3%82%BF%E3%83%AF%E3%83%BC%E3%80%81%E3%80%92105-7590+%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E6%B5%B7%E5%B2%B8%EF%BC%91%E4%B8%81%E7%9B%AE%EF%BC%97%E2%88%92%EF%BC%91/@35.7298185, 139.7370707, 11z/data=!3m1!5s0x60188bcfbd4b558d:0x8a806e1fb049c1b8!4m18!4m17!1m5!1m1!1s0x6018821ff7c32121:0xeea11eaad77f528b!2m2!1d139.9988774!2d35.7772495!1m5!1m1!1s0x60188b7e9c0d08a7:0xe97d025b25f3950f!2m2!1d139.7606699!2d35.6552143!2m3!6e1!7e2!8j1652695200!3e3"
山手 2LDK 3階, 98000, 0, 98000, 敷9.8万円, 礼9.8万円, 2LDK, 48.6m2, 南, マンション, 築49年, 神奈川県横浜市中区仲尾台, ＪＲ京浜東北線/山手駅 歩1分 or ＪＲ京浜東北線/石川町駅 歩22分 or みなとみらい線/元町・中華街駅 歩28分, https://suumo.jp/chintai/bc_100272643492/, 0, 56.0, "https://www.google.com/maps/dir/%E4%BB%B2%E5%B0%BE%E5%8F%B0%E3%80%81%E3%80%92231-0839+%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E6%A8%AA%E6%B5%9C%E5%B8%82%E4%B8%AD%E5%8C%BA/%E6%9D%B1%E4%BA%AC%E3%83%9D%E3%83%BC%E3%83%88%E3%82%B7%E3%83%86%E3%82%A3%E7%AB%B9%E8%8A%9D%E3%82%AA%E3%83%95%E3%82%A3%E3%82%B9%E3%82%BF%E3%83%AF%E3%83%BC%E3%80%81%E3%80%92105-7590+%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E6%B5%B7%E5%B2%B8%EF%BC%91%E4%B8%81%E7%9B%AE%EF%BC%97%E2%88%92%EF%BC%91/@35.5411232, 139.5509633, 11z/data=!3m1!5s0x60188bcfbd4b558d:0x8a806e1fb049c1b8!4m18!4m17!1m5!1m1!1s0x60185cd0983b237f:0xcdada2454bd64688!2m2!1d139.6442527!2d35.4254426!1m5!1m1!1s0x60188b7e9c0d08a7:0xe97d025b25f3950f!2m2!1d139.7606699!2d35.6552143!2m3!6e1!7e2!8j1652695200!3e3"
ヴィッラホーム六番館 2階, 97000, 3000, 100000, 敷9.7万円, 礼-, 2LDK, 58.78m2, 東, アパート, 築2年, 千葉県松戸市串崎新田, 新京成線/くぬぎ山駅 歩5分 or 北総線/大町駅 歩7分 or 新京成線/元山駅 歩23分, https://suumo.jp/chintai/bc_100275897883/, 0, 64.0, "https://www.google.com/maps/dir/%E4%B8%B2%E5%B4%8E%E6%96%B0%E7%94%B0%E3%80%81%E3%80%92270-2216+%E5%8D%83%E8%91%89%E7%9C%8C%E6%9D%BE%E6%88%B8%E5%B8%82/%E6%9D%B1%E4%BA%AC%E3%83%9D%E3%83%BC%E3%83%88%E3%82%B7%E3%83%86%E3%82%A3%E7%AB%B9%E8%8A%9D%E3%82%AA%E3%83%95%E3%82%A3%E3%82%B9%E3%82%BF%E3%83%AF%E3%83%BC%E3%80%81%E3%80%92105-7590+%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E6%B5%B7%E5%B2%B8%EF%BC%91%E4%B8%81%E7%9B%AE%EF%BC%97%E2%88%92%EF%BC%91/@35.72974, 139.7959209, 12z/data=!3m1!5s0x60188bcfbd4b558d:0x8a806e1fb049c1b8!4m18!4m17!1m5!1m1!1s0x601883ceef93e585:0x9085fe95cc94d6f5!2m2!1d139.9745076!2d35.7778861!1m5!1m1!1s0x60188b7e9c0d08a7:0xe97d025b25f3950f!2m2!1d139.7606699!2d35.6552143!2m3!6e1!7e2!8j1652695200!3e3"
Oakwood（オークウッド） 2階, 95000, 5000, 100000, 敷9.5万円, 礼9.5万円, 1LDK, 41.92m2, 南, アパート, 新築, 東京都板橋区高島平５, 都営三田線/西高島平駅 歩3分 or 都営三田線/新高島平駅 歩10分 or 都営三田線/高島平駅 歩19分, https://suumo.jp/chintai/bc_100270673030/, 0, 71.0, "https://www.google.com/maps/dir/%E3%80%92175-0082+%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%9D%BF%E6%A9%8B%E5%8C%BA%E9%AB%98%E5%B3%B6%E5%B9%B3%EF%BC%95%E4%B8%81%E7%9B%AE/%E6%9D%B1%E4%BA%AC%E3%83%9D%E3%83%BC%E3%83%88%E3%82%B7%E3%83%86%E3%82%A3%E7%AB%B9%E8%8A%9D%E3%82%AA%E3%83%95%E3%82%A3%E3%82%B9%E3%82%BF%E3%83%AF%E3%83%BC%E3%80%81%E3%80%92105-7590+%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E6%B5%B7%E5%B2%B8%EF%BC%91%E4%B8%81%E7%9B%AE%EF%BC%97%E2%88%92%EF%BC%91/@35.7237074, 139.6417592, 12z/data=!3m1!5s0x60188bcfbd4b558d:0x8a806e1fb049c1b8!4m18!4m17!1m5!1m1!1s0x6018eb815dc395c5:0x4fcaab3cd6e0f589!2m2!1d139.6464845!2d35.7880964!1m5!1m1!1s0x60188b7e9c0d08a7:0xe97d025b25f3950f!2m2!1d139.7606699!2d35.6552143!2m3!6e1!7e2!8j1652695200!3e3"
クリオ新杉田駅前 2階, 90000, 5000, 95000, 敷9万円, 礼9万円, 2DK, 45.15m2, -, マンション, 築19年, 神奈川県横浜市磯子区新杉田町, ＪＲ根岸線/新杉田駅 歩3分 or 京急本線/杉田駅 歩8分 or シーサイドライン/南部市場駅 歩15分, https://suumo.jp/chintai/bc_100280217266/, 0, 79.0, "https://www.google.com/maps/dir/%E6%96%B0%E6%9D%89%E7%94%B0%E7%94%BA%E3%80%81%E3%80%92235-0032+%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E6%A8%AA%E6%B5%9C%E5%B8%82%E7%A3%AF%E5%AD%90%E5%8C%BA/%E6%9D%B1%E4%BA%AC%E3%83%9D%E3%83%BC%E3%83%88%E3%82%B7%E3%83%86%E3%82%A3%E7%AB%B9%E8%8A%9D%E3%82%AA%E3%83%95%E3%82%A3%E3%82%B9%E3%82%BF%E3%83%AF%E3%83%BC%E3%80%81%E3%80%92105-7590+%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E6%B5%B7%E5%B2%B8%EF%BC%91%E4%B8%81%E7%9B%AE%EF%BC%97%E2%88%92%EF%BC%91/@35.521521, 139.5481445, 11z/data=!3m2!4b1!5s0x60188bcfbd4b558d:0x8a806e1fb049c1b8!4m18!4m17!1m5!1m1!1s0x6018436ae52bd875:0x8933aac282859196!2m2!1d139.6273579!2d35.3890483!1m5!1m1!1s0x60188b7e9c0d08a7:0xe97d025b25f3950f!2m2!1d139.7606699!2d35.6552143!2m3!6e1!7e2!8j1652695200!3e3"
