名称,家賃,管理費,家賃+管理費,敷金,礼金,間取り,面積,向き,種別,築年,住所,交通,目的地までの交通機関URL,SUUMOのURL
ＬＥ－ＣＩＥＬ　ＭＫ 4階,92000,8000,100000,敷-,礼-,1LDK,42.49m2,北西,マンション,新築,千葉県船橋市飯山満町２,東葉高速鉄道/飯山満駅 歩1分,https://www.google.com/maps/dir/?api=1&language=ja&origin=千葉県船橋市飯山満町２&destination=〒105-0022+東京都港区海岸１丁目７−１+東京ポートシティ竹芝オフィスタワ,https://suumo.jp/chintai/bc_100276272831/
大泉学園 1LDK 3階,93000,4000,97000,敷9.3万円,礼-,1LDK,47.3m2,南,マンション,築20年,東京都練馬区東大泉６,西武池袋線/大泉学園駅 歩3分 or 西武池袋線/保谷駅 歩21分 or 西武池袋線/石神井公園駅 歩28分,https://www.google.com/maps/dir/?api=1&language=ja&origin=東京都練馬区東大泉６&destination=〒105-0022+東京都港区海岸１丁目７−１+東京ポートシティ竹芝オフィスタワ,https://suumo.jp/chintai/bc_100272160219/
グランドゥールIII 3階,93000,5000,98000,敷-,礼9.3万円,1LDK,43.71m2,南西,アパート,築14年,千葉県流山市前平井,つくばエクスプレス/流山セントラルパーク駅 歩3分 or つくばエクスプレス/南流山駅 歩28分 or つくばエクスプレス/流山おおたかの森駅 歩29分,https://www.google.com/maps/dir/?api=1&language=ja&origin=千葉県流山市前平井&destination=〒105-0022+東京都港区海岸１丁目７−１+東京ポートシティ竹芝オフィスタワ,https://suumo.jp/chintai/bc_100280064007/
ソレイユメゾン　南流山 3階,93000,6000,99000,敷9.3万円,礼9.3万円,1LDK,45.02m2,-,マンション,新築,千葉県流山市鰭ケ崎,ＪＲ武蔵野線/南流山駅 歩14分 or つくばエクスプレス/南流山駅 歩14分 or 流鉄流山線/鰭ヶ崎駅 歩5分,https://www.google.com/maps/dir/?api=1&language=ja&origin=千葉県流山市鰭ケ崎&destination=〒105-0022+東京都港区海岸１丁目７−１+東京ポートシティ竹芝オフィスタワ,https://suumo.jp/chintai/bc_100260779356/
グランドゥールIII 3階,93000,6000,99000,敷-,礼9.3万円,1LDK,43.71m2,南西,アパート,築14年,千葉県流山市前平井,つくばエクスプレス/流山セントラルパーク駅 歩3分 or つくばエクスプレス/南流山駅 歩29分 or ＪＲ武蔵野線/南流山駅 歩29分,https://www.google.com/maps/dir/?api=1&language=ja&origin=千葉県流山市前平井&destination=〒105-0022+東京都港区海岸１丁目７−１+東京ポートシティ竹芝オフィスタワ,https://suumo.jp/chintai/bc_100280012204/
Sophia　Grace 7階,93000,6000,99000,敷9.3万円,礼9.3万円,1LDK,43.71m2,南,マンション,築9年,千葉県鎌ヶ谷市新鎌ケ谷１,北総線/新鎌ケ谷駅 歩4分 or 新京成線/初富駅 歩11分 or 北総線/大町駅 歩41分,https://www.google.com/maps/dir/?api=1&language=ja&origin=千葉県鎌ヶ谷市新鎌ケ谷１&destination=〒105-0022+東京都港区海岸１丁目７−１+東京ポートシティ竹芝オフィスタワ,https://suumo.jp/chintai/bc_100281092569/
グランドールＫ南越谷駅前 2階,93000,6000,99000,敷-,礼9.3万円,1LDK,43.23m2,南,マンション,築11年,埼玉県越谷市南越谷１,東武伊勢崎線/新越谷駅 歩4分 or ＪＲ武蔵野線/南越谷駅 歩5分 or 東武伊勢崎線/蒲生駅 歩10分,https://www.google.com/maps/dir/?api=1&language=ja&origin=埼玉県越谷市南越谷１&destination=〒105-0022+東京都港区海岸１丁目７−１+東京ポートシティ竹芝オフィスタワ,https://suumo.jp/chintai/bc_100281534431/
流山セントラルパーク 1LDK 3階,93000,6000,99000,敷-,礼9.3万円,1LDK,42m2,南,アパート,築15年,千葉県流山市後平井,つくばエクスプレス/流山セントラルパーク駅 歩3分 or 流鉄流山線/流山駅 歩18分 or つくばエクスプレス/流山おおたかの森駅 歩29分,https://www.google.com/maps/dir/?api=1&language=ja&origin=千葉県流山市後平井&destination=〒105-0022+東京都港区海岸１丁目７−１+東京ポートシティ竹芝オフィスタワ,https://suumo.jp/chintai/bc_100280012000/
ビュー野火止弐番館 4階,93000,6300,99300,敷18.6万円,礼-,2SLDK,58.5m2,南西,マンション,築21年,埼玉県新座市野火止５,ＪＲ武蔵野線/新座駅 歩3分 or 東武東上線/志木駅 車6分(2.9km) or 東武東上線/和光市駅 車12分(6.0km),https://www.google.com/maps/dir/?api=1&language=ja&origin=埼玉県新座市野火止５&destination=〒105-0022+東京都港区海岸１丁目７−１+東京ポートシティ竹芝オフィスタワ,https://suumo.jp/chintai/bc_100281123784/
フェミナ綾瀬 3階,93000,7000,100000,敷9.3万円,礼18.6万円,1LDK,42.07m2,南,マンション,築18年,東京都足立区綾瀬２,東京メトロ千代田線/綾瀬駅 歩1分 or ＪＲ常磐線/綾瀬駅 歩1分,https://www.google.com/maps/dir/?api=1&language=ja&origin=東京都足立区綾瀬２&destination=〒105-0022+東京都港区海岸１丁目７−１+東京ポートシティ竹芝オフィスタワ,https://suumo.jp/chintai/bc_100275168813/
宮前平 2DK 2階,94000,3000,97000,敷9.4万円,礼9.4万円,2DK,46.62m2,南,マンション,築31年,神奈川県川崎市宮前区小台２,東急田園都市線/宮前平駅 歩4分 or 東急田園都市線/鷺沼駅 歩12分 or 東急田園都市線/宮崎台駅 歩17分,https://www.google.com/maps/dir/?api=1&language=ja&origin=神奈川県川崎市宮前区小台２&destination=〒105-0022+東京都港区海岸１丁目７−１+東京ポートシティ竹芝オフィスタワ,https://suumo.jp/chintai/bc_100281685643/
ヒルズ安藤 2階,94000,5000,99000,敷9.4万円,礼9.4万円,2DK,48.01m2,南西,マンション,築17年,神奈川県川崎市多摩区菅稲田堤１,京王相模原線/京王稲田堤駅 歩2分 or ＪＲ南武線/稲田堤駅 歩2分 or ＪＲ南武線/矢野口駅 歩19分,https://www.google.com/maps/dir/?api=1&language=ja&origin=神奈川県川崎市多摩区菅稲田堤１&destination=〒105-0022+東京都港区海岸１丁目７−１+東京ポートシティ竹芝オフィスタワ,https://suumo.jp/chintai/bc_100277595709/
西船橋 1LDK 2階,94000,5000,99000,敷-,礼9.4万円,1LDK,44.21m2,南東,アパート,築11年,千葉県船橋市西船４,ＪＲ総武線/西船橋駅 歩2分 or 京成本線/京成西船駅 歩7分 or 東京メトロ東西線/原木中山駅 歩29分,https://www.google.com/maps/dir/?api=1&language=ja&origin=千葉県船橋市西船４&destination=〒105-0022+東京都港区海岸１丁目７−１+東京ポートシティ竹芝オフィスタワ,https://suumo.jp/chintai/bc_100279677163/
昭島 1LDK 2階,94000,5000,99000,敷9.4万円,礼9.4万円,1LDK,40.68m2,西,アパート,新築,東京都昭島市昭和町５,ＪＲ青梅線/昭島駅 歩3分 or ＪＲ青梅線/中神駅 歩21分 or 西武拝島線/西武立川駅 歩30分,https://www.google.com/maps/dir/?api=1&language=ja&origin=東京都昭島市昭和町５&destination=〒105-0022+東京都港区海岸１丁目７−１+東京ポートシティ竹芝オフィスタワ,https://suumo.jp/chintai/bc_100280569250/
昭島 1LDK 2階,94000,5000,99000,敷9.4万円,礼9.4万円,1LDK,40.59m2,南東,アパート,新築,東京都昭島市昭和町５,ＪＲ青梅線/昭島駅 歩5分 or ＪＲ青梅線/中神駅 歩21分 or ＪＲ八高線/拝島駅 歩26分,https://www.google.com/maps/dir/?api=1&language=ja&origin=東京都昭島市昭和町５&destination=〒105-0022+東京都港区海岸１丁目７−１+東京ポートシティ竹芝オフィスタワ,https://suumo.jp/chintai/bc_100272657705/
ガーデンテラスアイリス 2階,94000,5000,99000,敷9.4万円,礼9.4万円,1LDK,40.31m2,東,アパート,新築,東京都昭島市昭和町５,ＪＲ青梅線/昭島駅 歩4分 or ＪＲ青梅線/中神駅 歩21分 or ＪＲ青梅線/拝島駅 歩26分,https://www.google.com/maps/dir/?api=1&language=ja&origin=東京都昭島市昭和町５&destination=〒105-0022+東京都港区海岸１丁目７−１+東京ポートシティ竹芝オフィスタワ,https://suumo.jp/chintai/bc_100272446770/
クレセント川久保 3階,94000,6000,100000,敷-,礼4.7万円,3LDK,74.14m2,-,マンション,築26年,東京都八王子市片倉町,ＪＲ横浜線/片倉駅 歩3分 or 京王高尾線/京王片倉駅 歩10分 or 京王線/北野駅 歩20分,https://www.google.com/maps/dir/?api=1&language=ja&origin=東京都八王子市片倉町&destination=〒105-0022+東京都港区海岸１丁目７−１+東京ポートシティ竹芝オフィスタワ,https://suumo.jp/chintai/bc_100282123692/
クレセント川久保 3階,94000,6000,100000,敷-,礼4.7万円,3LDK,74.14m2,南東,アパート,築26年,東京都八王子市片倉町,ＪＲ横浜線/片倉駅 歩2分 or 京王高尾線/京王片倉駅 歩8分 or ＪＲ横浜線/八王子みなみ野駅 歩20分,https://www.google.com/maps/dir/?api=1&language=ja&origin=東京都八王子市片倉町&destination=〒105-0022+東京都港区海岸１丁目７−１+東京ポートシティ竹芝オフィスタワ,https://suumo.jp/chintai/bc_100273302710/
セントラル流桜 2階,94000,6000,100000,敷9.4万円,礼-,1LDK,47.03m2,南,マンション,築16年,千葉県流山市前平井,つくばエクスプレス/流山セントラルパーク駅 歩1分 or 流鉄流山線/流山駅 歩15分 or ＪＲ武蔵野線/南流山駅 バス15分 (バス停)流山セントラルパーク駅 歩1分,https://www.google.com/maps/dir/?api=1&language=ja&origin=千葉県流山市前平井&destination=〒105-0022+東京都港区海岸１丁目７−１+東京ポートシティ竹芝オフィスタワ,https://suumo.jp/chintai/bc_100281408276/
Ｋ．Ｓ柿生 4階,94000,6000,100000,敷9.4万円,礼9.4万円,2DK,45.43m2,北西,マンション,築22年,神奈川県川崎市麻生区上麻生５,小田急線/柿生駅 歩2分 or 小田急多摩線/五月台駅 歩19分 or 小田急線/鶴川駅 歩23分,https://www.google.com/maps/dir/?api=1&language=ja&origin=神奈川県川崎市麻生区上麻生５&destination=〒105-0022+東京都港区海岸１丁目７−１+東京ポートシティ竹芝オフィスタワ,https://suumo.jp/chintai/bc_100278662568/
フェリズ土浦南　２０４号室 2階,95000,0,95000,敷9.5万円,礼9.5万円,3LDK,75.84m2,南西,マンション,築16年,茨城県土浦市荒川沖東３,ＪＲ常磐線/荒川沖駅 歩4分 or ＪＲ常磐線/ひたち野うしく駅 歩34分 or ＪＲ常磐線/土浦駅 歩90分,https://www.google.com/maps/dir/?api=1&language=ja&origin=茨城県土浦市荒川沖東３&destination=〒105-0022+東京都港区海岸１丁目７−１+東京ポートシティ竹芝オフィスタワ,https://suumo.jp/chintai/bc_100281087594/
ハイムグランデ東松山 3階,95000,0,95000,敷19万円,礼9.5万円,2SLDK,66.09m2,南,マンション,築13年,埼玉県東松山市箭弓町１,東武東上線/東松山駅 歩1分,https://www.google.com/maps/dir/?api=1&language=ja&origin=埼玉県東松山市箭弓町１&destination=〒105-0022+東京都港区海岸１丁目７−１+東京ポートシティ竹芝オフィスタワ,https://suumo.jp/chintai/bc_100273162106/
小平 2LDK 2階,95000,0,95000,敷9.5万円,礼9.5万円,2LDK,50.02m2,南,マンション,築32年,東京都小平市美園町２,西武新宿線/小平駅 歩2分 or 西武拝島線/萩山駅 歩17分 or 西武多摩湖線/青梅街道駅 歩25分,https://www.google.com/maps/dir/?api=1&language=ja&origin=東京都小平市美園町２&destination=〒105-0022+東京都港区海岸１丁目７−１+東京ポートシティ竹芝オフィスタワ,https://suumo.jp/chintai/bc_000035962411/
